Name,Rating,ImageURL,Staff,Facilities,Cleanliness,Comfort,Value_for_money,Location,Wifi
ibis Paris Gare du Nord Château Landon 10ème,7.6,https://cf.bstatic.com/xdata/images/hotel/max1024x768/251797160.jpg?k=196be80d7f0bd21b6c3b4152a6bd684e39a98d142f61f334b9d056fced4cf0aa&o=,8.2,7.6,8.0,7.9,7.5,8.1,7.9
Hotel De Suez,8.7,https://cf.bstatic.com/xdata/images/hotel/max1024x768/377845512.jpg?k=1cf7994ea8881174c678eca1636a1497aa3405a634db03b5daecf0809c9b2e33&o=,9.2,8.6,9.1,9.1,8.5,9.6,8.8
Hôtel des Deux Avenues,8.5,https://cf.bstatic.com/xdata/images/hotel/max1024x768/550671518.jpg?k=b61263c96cd055a6a36c8145bb7136319e83adce70db3b742beaf001d8473c6d&o=,9.1,8.6,8.9,8.8,8.3,9.4,7.7
ibis Paris Vaugirard Porte de Versailles,7.8,https://cf.bstatic.com/xdata/images/hotel/max1024x768/251929157.jpg?k=320397299efba8e01e451c1ab379620f7b1b9e5543f87fd473531218b2515ebd&o=,8.8,7.9,8.4,8.1,7.4,8.6,7.8
Les Patios du Marais 1,7.7,https://cf.bstatic.com/xdata/images/hotel/max1024x768/33313556.jpg?k=0599b015e1ce53c59df9def115fc692adbb1bbd154df8d5e2b316535deb45c6d&o=,8.1,7.7,7.8,7.9,7.1,8.8,8.3
Mercure Paris Centre Tour Eiffel,7.5,https://cf.bstatic.com/xdata/images/hotel/max1024x768/632806445.jpg?k=92d120a395985bef4dc0125ec6122456fc0134a3c04382c44011a904538a4b6d&o=,8.2,7.4,7.7,7.9,7.0,9.4,8.7
Reims Hotel,7.6,https://cf.bstatic.com/xdata/images/hotel/max1024x768/82461326.jpg?k=c5d9ae6ffc8b540e5b092119db8d5861fed3d003694c127966e86d739f184324&o=,8.6,7.8,8.3,8.2,8.0,6.7,8.4
Dauphine Saint Germain,8.0,https://cf.bstatic.com/xdata/images/hotel/max1024x768/57169012.jpg?k=2a2767857ef91cfebf9892db1f225c6678e3c57e9fb31091b666812b14127e58&o=,8.9,7.6,8.1,8.2,7.8,9.4,8.5
Novotel Paris Les Halles,8.2,https://cf.bstatic.com/xdata/images/hotel/max1024x768/656036671.jpg?k=ab8d1370783a329e26e5e262a26ecad78c81bac36e12ddc93b9455cb5d4dd301&o=,8.9,8.2,8.4,8.5,7.5,9.3,8.2
Hôtel des Beaux Arts,7.8,https://cf.bstatic.com/xdata/images/hotel/max1024x768/548083306.jpg?k=10469c118840d367070791265c84775843f655fc68aca07f94eccf5abbaf3e42&o=,8.9,7.9,8.5,8.2,7.9,8.7,8.1
Hôtel WYLD Saint Germain,8.4,https://cf.bstatic.com/xdata/images/hotel/max1024x768/667766299.jpg?k=895ef9f7aef8699767ffe0fccb0eeb3867b28a1aafbbb1914920f859e75eaafa&o=,9.4,8.3,8.7,8.8,8.3,9.6,7.9
Hipotel Paris Belgrand Mairie du 20ème,7.8,https://cf.bstatic.com/xdata/images/hotel/max1024x768/578723591.jpg?k=1283a0fd17d14849a36059060d16573ac2f4464d82c9683e90d28cf0b1eda4c6&o=,8.7,7.7,8.0,8.0,8.0,8.5,8.1
Art Hotel Eiffel,7.9,https://cf.bstatic.com/xdata/images/hotel/max1024x768/75151941.jpg?k=bb44aa07480d8bdfe4f73319a3106385e7a1b7538b593fec5656c5cbddb46e2a&o=,8.5,7.6,8.0,8.1,7.6,9.2,8.4
Hotel CIS Paris Maurice Ravel,7.5,https://cf.bstatic.com/xdata/images/hotel/max1024x768/229579057.jpg?k=0e0ec1dd4dbb7823f6163d2548938f4d2b278b97bfe049d5b2ed72edc4cdeec5&o=,8.3,7.3,8.0,7.6,7.9,7.4,7.8
Les Jardins Du Luxembourg,8.9,https://cf.bstatic.com/xdata/images/hotel/max1024x768/288518620.jpg?k=f70ad4f0955dbe04f0c7f0174b79156f2124335dcfda464469029bde771a1a45&o=,9.4,8.8,9.2,9.3,8.4,9.5,9.0
Hotel Little Regina,8.2,https://cf.bstatic.com/xdata/images/hotel/max1024x768/525178432.jpg?k=14e25e2657ffb5dee82285d57975f1ff6994d1318bb83f09f8d7f7eed762fb98&o=,9.0,8.1,8.4,8.4,8.3,9.1,8.0
